Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
23 June 2003,Thailand ,9,2,7
23 June 2003,United Kingdom ,4,0,4
23 June 2003,United States,74,0,36
23 June 2003,Viet Nam,63,5,58
24 June 2003,Brazil,3,0,2
24 June 2003,Canada,249,37,188
24 June 2003,China,5326,347,4901
24 June 2003,"China, Hong Kong Special Administrative Region^4",1755,296,1417
24 June 2003,"China, Macao Special Administrative Region",1,0,1
24 June 2003,"China, Taiwan ",687,84,492
24 June 2003,Colombia,1,0,1
24 June 2003,Finland,1,0,1
24 June 2003,France,7,0,6
24 June 2003,Germany ,10,0,9
24 June 2003,India,3,0,3
24 June 2003,Indonesia,2,0,2
24 June 2003,Italy,9,0,9
24 June 2003,Kuwait,1,0,1
24 June 2003,Malaysia,5,2,3
24 June 2003,Mongolia,9,0,9
24 June 2003,New Zealand,1,0,1
24 June 2003,Philippines,14,2,12
24 June 2003,Republic of Ireland,1,0,1
24 June 2003,Republic of Korea,3,0,3
24 June 2003,Romania,1,0,1
24 June 2003,Russian Federation,1,0,0
24 June 2003,Singapore ,206,31,170
24 June 2003,South Africa,1,1,0
24 June 2003,Spain,1,0,1
24 June 2003,Sweden,3,0,3
24 June 2003,Switzerland ,1,0,1
24 June 2003,Thailand ,9,2,7
24 June 2003,United Kingdom ,4,0,4
24 June 2003,United States,75,0,36
24 June 2003,Viet Nam,63,5,58
25 June 2003,Brazil,3,0,2
25 June 2003,Canada^4,250,37,188
25 June 2003,China^5,5327,348,4916
25 June 2003,"China, Hong Kong Special Administrative Region^6",1755,296,1419
25 June 2003,"China, Macao Special Administrative Region",1,0,1
25 June 2003,"China, Taiwan ",686,84,492
25 June 2003,Colombia,1,0,1
25 June 2003,Finland,1,0,1
25 June 2003,France,7,0,6
25 June 2003,Germany ,10,0,9
25 June 2003,India,3,0,3
25 June 2003,Indonesia,2,0,2
25 June 2003,Italy,9,0,9
25 June 2003,Japan,1,0,0
25 June 2003,Kuwait,1,0,1
25 June 2003,Malaysia,5,2,3
25 June 2003,Mongolia,9,0,9
25 June 2003,New Zealand,1,0,1
25 June 2003,Philippines,14,2,12
25 June 2003,Republic of Ireland,1,0,1
25 June 2003,Republic of Korea,3,0,3
25 June 2003,Romania,1,0,1
25 June 2003,Russian Federation,1,0,0
25 June 2003,Singapore ,206,31,170
25 June 2003,South Africa,1,1,0
25 June 2003,Spain,1,0,1
25 June 2003,Sweden,3,0,3
25 June 2003,Switzerland ,1,0,1
25 June 2003,Thailand ,9,2,7
25 June 2003,United Kingdom ,4,0,4
25 June 2003,United States,75,0,36
25 June 2003,Viet Nam,63,5,58
26 June 2003,Brazil,3,0,2
26 June 2003,Canada^4,251,37,190
26 June 2003,China^5,5327,348,4921
26 June 2003,"China, Hong Kong Special Administrative Region^6",1755,296,1419
26 June 2003,"China, Macao Special Administrative Region",1,0,1
26 June 2003,"China, Taiwan ",682,84,491
26 June 2003,Colombia,1,0,1
26 June 2003,Finland,1,0,1
26 June 2003,France,7,0,6
26 June 2003,Germany ,10,0,9
26 June 2003,India,3,0,3
26 June 2003,Indonesia,2,0,2
26 June 2003,Italy,9,0,9
26 June 2003,Japan,1,0,0
26 June 2003,Kuwait,1,0,1
26 June 2003,Malaysia,5,2,3
26 June 2003,Mongolia,9,0,9
26 June 2003,New Zealand,1,0,1
26 June 2003,Philippines,14,2,12
26 June 2003,Republic of Ireland,1,0,1
26 June 2003,Republic of Korea,3,0,3
26 June 2003,Romania,1,0,1
26 June 2003,Russian Federation,1,0,0
26 June 2003,Singapore ,206,32,170
26 June 2003,South Africa,1,1,0
26 June 2003,Spain,1,0,1
26 June 2003,Sweden,3,0,3
26 June 2003,Switzerland ,1,0,1
26 June 2003,Thailand ,9,2,7
26 June 2003,United Kingdom ,4,0,4
26 June 2003,United States,74,0,36
26 June 2003,Viet Nam,63,5,58
27 June 2003,Brazil,3,0,2
27 June 2003,Canada^4,251,37,191
27 June 2003,China^5,5327,348,4921
27 June 2003,"China, Hong Kong Special Administrative Region^6",1755,297,1422
27 June 2003,"China, Macao Special Administrative Region",1,0,1
27 June 2003,"China, Taiwan ",681,84,492
27 June 2003,Colombia,1,0,1
27 June 2003,Finland,1,0,1
27 June 2003,France,7,0,6
27 June 2003,Germany ,10,0,9
27 June 2003,India,3,0,3
27 June 2003,Indonesia,2,0,2
27 June 2003,Italy,5,0,5
27 June 2003,Kuwait,1,0,1
27 June 2003,Malaysia,5,2,3
27 June 2003,Mongolia,9,0,9
27 June 2003,New Zealand,1,0,1
27 June 2003,Philippines^7,14,2,12
27 June 2003,Republic of Ireland,1,0,1
27 June 2003,Republic of Korea,3,0,3
27 June 2003,Romania,1,0,1
27 June 2003,Russian Federation,1,0,0
27 June 2003,Singapore ,206,32,171
27 June 2003,South Africa,1,1,0
27 June 2003,Spain,1,0,1
27 June 2003,Sweden,3,0,3
27 June 2003,Switzerland ,1,0,1
27 June 2003,Thailand ,9,2,7
27 June 2003,United Kingdom ,4,0,4
27 June 2003,United States^8,74,0,64
27 June 2003,Viet Nam,63,5,58
30 June 2003,Australia,5,0,5
30 June 2003,Brazil,3,0,2
30 June 2003,Canada^4,252,37,192
30 June 2003,China^5,5327,348,4927
30 June 2003,"China, Hong Kong Special Administrative Region^6",1755,298,1429
30 June 2003,"China, Macao Special Administrative Region",1,0,1
30 June 2003,"China, Taiwan ",678,84,495
30 June 2003,Colombia,1,0,1
30 June 2003,Finland,1,0,1
30 June 2003,France,7,0,6
30 June 2003,Germany ,10,0,9
30 June 2003,India,3,0,3
30 June 2003,Indonesia,2,0,2
30 June 2003,Italy,5,0,5
30 June 2003,Kuwait,1,0,1
30 June 2003,Malaysia,5,2,3
30 June 2003,Mongolia,9,0,9
30 June 2003,New Zealand,1,0,1
30 June 2003,Philippines,14,2,12
30 June 2003,Republic of Ireland,1,0,1
30 June 2003,Republic of Korea,3,0,3
30 June 2003,Romania,1,0,1
30 June 2003,Russian Federation,1,0,0
30 June 2003,Singapore ,206,32,171
30 June 2003,South Africa,1,1,0
30 June 2003,Spain,1,0,1
30 June 2003,Sweden,3,0,3
30 June 2003,Switzerland ,1,0,1
30 June 2003,Thailand ,9,2,7
30 June 2003,United Kingdom ,4,0,4
30 June 2003,United States^7,73,0,63
30 June 2003,Viet Nam,63,5,58
1 July 2003,Brazil,1,0,1
1 July 2003,Canada^4,252,38,192
1 July 2003,China^5,5327,348,4930
1 July 2003,"China, Hong Kong Special Administrative Region^6",1755,298,1429
1 July 2003,"China, Macao Special Administrative Region",1,0,1
1 July 2003,"China, Taiwan ",678,84,498
1 July 2003,Colombia,1,0,1
1 July 2003,Finland,1,0,1
1 July 2003,France,7,0,6
1 July 2003,Germany ,10,0,9
1 July 2003,India,3,0,3
1 July 2003,Indonesia,2,0,2
1 July 2003,Italy,5,0,5
1 July 2003,Kuwait,1,0,1
1 July 2003,Malaysia,5,2,3
1 July 2003,Mongolia,9,0,9
1 July 2003,New Zealand,1,0,1
1 July 2003,Philippines,14,2,12
1 July 2003,Republic of Ireland,1,0,1
1 July 2003,Republic of Korea,3,0,3
1 July 2003,Romania,1,0,1
1 July 2003,Russian Federation,1,0,0
1 July 2003,Singapore ,206,32,171
1 July 2003,South Africa,1,1,0
1 July 2003,Spain,1,0,1
1 July 2003,Sweden,3,0,3
1 July 2003,Switzerland ,1,0,1
1 July 2003,Thailand ,9,2,7
1 July 2003,United Kingdom ,4,0,4
1 July 2003,United States^7,73,0,63
1 July 2003,Viet Nam,63,5,58
2 July 2003,Brazil,1,0,1
2 July 2003,Canada^4,252,38,192
2 July 2003,China^5,5327,348,4933
2 July 2003,"China, Hong Kong Special Administrative Region^6",1755,298,1429
2 July 2003,"China, Macao Special Administrative Region",1,0,1
2 July 2003,"China, Taiwan ",676,84,498
2 July 2003,Colombia,1,0,1
2 July 2003,Finland,1,0,1
2 July 2003,France,7,0,6
2 July 2003,Germany ,10,0,9
2 July 2003,India,3,0,3
2 July 2003,Indonesia,2,0,2
2 July 2003,Italy,4,0,4
2 July 2003,Kuwait,1,0,1
2 July 2003,Malaysia,5,2,3
2 July 2003,Mongolia,9,0,9
2 July 2003,New Zealand,1,0,1
2 July 2003,Philippines,14,2,12
2 July 2003,Republic of Ireland,1,0,1
2 July 2003,Republic of Korea,3,0,3
2 July 2003,Romania,1,0,1
2 July 2003,Russian Federation,1,0,0
2 July 2003,Singapore ,206,32,171
2 July 2003,South Africa,1,1,0
2 July 2003,Spain,1,0,1
2 July 2003,Sweden,3,0,3
2 July 2003,Switzerland ,1,0,1
2 July 2003,Thailand ,9,2,7
2 July 2003,United Kingdom ,4,0,4
2 July 2003,United States^7,73,0,63
2 July 2003,Viet Nam,63,5,58
3 July 2003,Brazil,1,0,1
3 July 2003,Canada^4,251,38,193
3 July 2003,China^5,5327,348,4933
3 July 2003,"China, Hong Kong Special Administrative Region^6",1755,298,1429
3 July 2003,"China, Macao Special Administrative Region",1,0,1
3 July 2003,"China, Taiwan ",674,84,498
3 July 2003,Colombia,1,0,1
3 July 2003,Finland,1,0,1
3 July 2003,France,7,0,6
3 July 2003,Germany ,10,0,9
3 July 2003,India,3,0,3
3 July 2003,Indonesia,2,0,2
3 July 2003,Italy,4,0,4
3 July 2003,Kuwait,1,0,1
3 July 2003,Malaysia,5,2,3
3 July 2003,Mongolia,9,0,9
3 July 2003,New Zealand,1,0,1
3 July 2003,Philippines,14,2,12
3 July 2003,Republic of Ireland,1,0,1
3 July 2003,Republic of Korea,3,0,3
3 July 2003,Romania,1,0,1
3 July 2003,Russian Federation,1,0,0
3 July 2003,Singapore ,206,32,171
3 July 2003,South Africa,1,1,0
3 July 2003,Spain,1,0,1
3 July 2003,Sweden,3,0,3
3 July 2003,Switzerland ,1,0,1
3 July 2003,Thailand ,9,2,7
3 July 2003,United Kingdom ,4,0,4
3 July 2003,United States^7,73,0,65
3 July 2003,Viet Nam,63,5,58
4 July 2003,Brazil,1,0,1
4 July 2003,Canada^4,251,38,193
4 July 2003,China^5,5327,348,4934
4 July 2003,"China, Hong Kong Special Administrative Region^6",1755,298,1430
4 July 2003,"China, Macao Special Administrative Region",1,0,1
4 July 2003,"China, Taiwan ",674,84,500
4 July 2003,Colombia,1,0,1
4 July 2003,Finland,1,0,1
4 July 2003,France,7,0,6
4 July 2003,Germany ,10,0,9
4 July 2003,India,3,0,3
4 July 2003,Indonesia,2,0,2
4 July 2003,Italy,4,0,4
4 July 2003,Kuwait,1,0,1
4 July 2003,Malaysia,5,2,3
4 July 2003,Mongolia,9,0,9
4 July 2003,New Zealand,1,0,1
4 July 2003,Philippines,14,2,12
4 July 2003,Republic of Ireland,1,0,1
4 July 2003,Republic of Korea,3,0,3
4 July 2003,Romania,1,0,1
4 July 2003,Russian Federation,1,0,0
4 July 2003,Singapore ,206,32,171
4 July 2003,South Africa,1,1,0
4 July 2003,Spain,1,0,1
4 July 2003,Sweden,3,0,3
4 July 2003,Switzerland ,1,0,1
4 July 2003,Thailand ,9,2,7
4 July 2003,United Kingdom ,4,0,4
4 July 2003,United States^7,73,0,65
4 July 2003,Viet Nam,63,5,58
7 July 2003,Brazil,1,0,1
7 July 2003,Canada^4,251,38,193
7 July 2003,China^5,5327,348,4934
7 July 2003,"China, Hong Kong Special Administrative Region^6",1755,298,1430
7 July 2003,"China, Macao Special Administrative Region",1,0,1
7 July 2003,"China, Taiwan ",674,84,500
7 July 2003,Colombia,1,0,1
7 July 2003,Finland,1,0,1
7 July 2003,France,7,0,6
7 July 2003,Germany ,10,0,9
7 July 2003,India,3,0,3
7 July 2003,Indonesia,2,0,2
7 July 2003,Italy,4,0,4
7 July 2003,Kuwait,1,0,1
7 July 2003,Malaysia,5,2,3
7 July 2003,Mongolia,9,0,9
7 July 2003,New Zealand,1,0,1
7 July 2003,Philippines,14,2,12
7 July 2003,Republic of Ireland,1,0,1
7 July 2003,Republic of Korea,3,0,3
7 July 2003,Romania,1,0,1
7 July 2003,Russian Federation,1,0,0
7 July 2003,Singapore ,206,32,171
7 July 2003,South Africa,1,1,0
7 July 2003,Spain,1,0,1
7 July 2003,Sweden,3,0,3
7 July 2003,Switzerland ,1,0,1
7 July 2003,Thailand ,9,2,7
7 July 2003,United Kingdom ,4,0,4
7 July 2003,United States^7,73,0,65
7 July 2003,Viet Nam,63,5,58
8 July 2003,Brazil,1,0,1
8 July 2003,Canada^4,250,38,194
8 July 2003,China^5,5327,348,4934
8 July 2003,"China, Hong Kong Special Administrative Region^6",1755,298,1430
8 July 2003,"China, Macao Special Administrative Region",1,0,1
8 July 2003,"China, Taiwan ",671,84,502
8 July 2003,Colombia,1,0,1
8 July 2003,Finland,1,0,1
8 July 2003,France,7,0,6
8 July 2003,Germany ,10,0,9
8 July 2003,India,3,0,3
8 July 2003,Indonesia,2,0,2
8 July 2003,Italy,4,0,4
8 July 2003,Kuwait,1,0,1
8 July 2003,Malaysia,5,2,3
8 July 2003,Mongolia,9,0,9
8 July 2003,New Zealand,1,0,1
8 July 2003,Philippines,14,2,12
8 July 2003,Republic of Ireland,1,0,1
8 July 2003,Republic of Korea,3,0,3
8 July 2003,Romania,1,0,1
8 July 2003,Russian Federation,1,0,0
8 July 2003,Singapore ,206,32,171
8 July 2003,South Africa,1,1,0
8 July 2003,Spain,1,0,1
8 July 2003,Sweden,3,0,3
8 July 2003,Switzerland ,1,0,1
8 July 2003,Thailand ,9,2,7
8 July 2003,United Kingdom ,4,0,4
8 July 2003,United States^7,74,0,64
8 July 2003,Viet Nam,63,5,58
9 July 2003,Brazil,1,0,1
9 July 2003,Canada^4,249,38,193
9 July 2003,China^5,5327,348,4939
9 July 2003,"China, Hong Kong Special Administrative Region^6",1755,298,1431
9 July 2003,"China, Macao Special Administrative Region",1,0,1
9 July 2003,"China, Taiwan ",671,84,504
9 July 2003,Colombia,1,0,1
9 July 2003,Finland,1,0,1
9 July 2003,France,7,0,6
9 July 2003,Germany ,10,0,9
9 July 2003,India,3,0,3
9 July 2003,Indonesia,2,0,2
9 July 2003,Italy,4,0,4
9 July 2003,Kuwait,1,0,1
9 July 2003,Malaysia,5,2,3
9 July 2003,Mongolia,9,0,9
9 July 2003,New Zealand,1,0,1
9 July 2003,Philippines,14,2,12
9 July 2003,Republic of Ireland,1,0,1
9 July 2003,Republic of Korea,3,0,3
9 July 2003,Romania,1,0,1
9 July 2003,Russian Federation,1,0,0
9 July 2003,Singapore ,206,32,171
9 July 2003,South Africa,1,1,0
9 July 2003,Spain,1,0,1
9 July 2003,Sweden,3,0,3
9 July 2003,Switzerland ,1,0,1
9 July 2003,Thailand ,9,2,7
9 July 2003,United Kingdom ,4,0,4
9 July 2003,United States^7,75,0,67
9 July 2003,Viet Nam,63,5,58
10 July 2003,Brazil,1,0,1
10 July 2003,Canada^4,250,38,194
10 July 2003,China^5,5327,348,4941
10 July 2003,"China, Hong Kong Special Administrative Region^6",1755,298,1431
10 July 2003,"China, Macao Special Administrative Region",1,0,1
10 July 2003,"China, Taiwan ",671,84,506
10 July 2003,Colombia,1,0,1
10 July 2003,Finland,1,0,1
10 July 2003,France,7,0,6
10 July 2003,Germany ,10,0,9
10 July 2003,India,3,0,3
10 July 2003,Indonesia,2,0,2
10 July 2003,Italy,4,0,4
10 July 2003,Kuwait,1,0,1
10 July 2003,Malaysia,5,2,3
10 July 2003,Mongolia,9,0,9
10 July 2003,New Zealand,1,0,1
10 July 2003,Philippines,14,2,12
10 July 2003,Republic of Ireland,1,0,1
10 July 2003,Republic of Korea,3,0,3
10 July 2003,Romania,1,0,1
10 July 2003,Russian Federation,1,0,0
10 July 2003,Singapore ,206,32,172
10 July 2003,South Africa,1,1,0
10 July 2003,Spain,1,0,1
10 July 2003,Sweden,3,0,3
10 July 2003,Switzerland ,1,0,1
10 July 2003,Thailand ,9,2,7
10 July 2003,United Kingdom ,4,0,4
10 July 2003,United States^7,75,0,67
10 July 2003,Viet Nam,63,5,58
11 July 2003,Brazil,1,0,1
11 July 2003,Canada^4,250,38,194
11 July 2003,China^5,5327,348,4941
11 July 2003,"China, Hong Kong Special Administrative Region^6",1755,298,1433
11 July 2003,"China, Macao Special Administrative Region",1,0,1
11 July 2003,"China, Taiwan ",671,84,507
11 July 2003,Colombia,1,0,1
11 July 2003,Finland,1,0,1
11 July 2003,France,7,1,6
11 July 2003,Germany ,10,0,9
11 July 2003,India,3,0,3
11 July 2003,Indonesia,2,0,2
11 July 2003,Italy,4,0,4
11 July 2003,Kuwait,1,0,1
11 July 2003,Malaysia,5,2,3
11 July 2003,Mongolia,9,0,9
11 July 2003,New Zealand,1,0,1
11 July 2003,Philippines,14,2,12
11 July 2003,Republic of Ireland,1,0,1
11 July 2003,Republic of Korea,3,0,3
11 July 2003,Romania,1,0,1
11 July 2003,Russian Federation,1,0,0
11 July 2003,Singapore ,206,32,172
11 July 2003,South Africa,1,1,0
11 July 2003,Spain,1,0,1
11 July 2003,Sweden,3,0,3
11 July 2003,Switzerland ,1,0,1
11 July 2003,Thailand ,9,2,7
11 July 2003,United Kingdom ,4,0,4
11 July 2003,United States^7,75,0,67
11 July 2003,Viet Nam,63,5,58
